номер региона;субъект;y1;y2;y3;y4;y5;y;год;x1;
1;Белгородская область ;33,00;2,30;1,50;39,50;23,70;13866,30;2016,00;5,38;
2;Брянская область ;41,50;2,40;1,50;30,60;24,00;10800,10;2016,00;5,38;
3;Bладимирская область ;50,00;2,50;1,50;21,70;24,30;7733,90;2016,00;5,38;
4;Bоронежская область ;58,50;2,60;1,50;12,80;24,60;4667,70;2016,00;5,38;
5;Ивановская область ;67,00;2,70;1,50;3,90;24,90;1601,50;2016,00;5,38;
6;Kалужская область ;75,50;2,80;1,50;-5,00;25,20;-1464,70;2016,00;5,38;
7;Kостромская область ;84,00;2,90;1,50;-13,90;25,50;-4530,90;2016,00;5,38;
8;Kурская область ;92,50;3,00;1,50;-22,80;25,80;-7597,10;2016,00;5,38;
9;Липецкая область ;101,00;3,10;1,50;-31,70;26,10;-10663,30;2016,00;5,38;
10;Mосковская область ;109,50;3,20;1,50;-40,60;26,40;-13729,50;2016,00;5,38;
11;Oрловская область ;118,00;3,30;1,50;-49,50;26,70;-16795,70;2016,00;5,38;
12;Pязанская область ;126,50;3,40;1,50;-58,40;27,00;-19861,90;2016,00;5,38;
13;Cмоленская область ;135,00;3,50;1,50;-67,30;27,30;-22928,10;2016,00;5,38;
14;Tамбовская область ;143,50;3,60;1,50;-76,20;27,60;-25994,30;2016,00;5,38;
15;Tверская область ;152,00;3,70;1,50;-85,10;27,90;-29060,50;2016,00;5,38;
16;Tульская область ;160,50;3,80;1,50;-94,00;28,20;-32126,70;2016,00;5,38;
17;Ярославская область ;169,00;3,90;1,50;-102,90;28,50;-35192,90;2016,00;5,38;
18;г.Москва ;177,50;4,00;1,50;-111,80;28,80;-38259,10;2016,00;5,38;
19;Республика Карелия ;186,00;4,10;1,50;-120,70;29,10;-41325,30;2016,00;5,38;
20;Республика Коми ;194,50;4,20;1,50;-129,60;29,40;-44391,50;2016,00;5,38;
21;Aрхангельская область ;203,00;4,30;1,50;-138,50;29,70;-47457,70;2016,00;5,38;
22;Ненецкий авт. округ ;211,50;4,40;1,50;-147,40;30,00;-50523,90;2016,00;5,38;
23;Bологодская область ;220,00;4,50;1,50;-156,30;30,30;-53590,10;2016,00;5,38;
24;Калининградская область ;228,50;4,60;1,50;-165,20;30,60;-56656,30;2016,00;5,38;
25;Ленинградская область ;237,00;4,70;1,50;-174,10;30,90;-59722,50;2016,00;5,38;
26;Mурманская область ;245,50;4,80;1,50;-183,00;31,20;-62788,70;2016,00;5,38;
27;Hовгородская область ;254,00;4,90;1,50;-191,90;31,50;-65854,90;2016,00;5,38;
28;Псковская область ;262,50;5,00;1,50;-200,80;31,80;-68921,10;2016,00;5,38;
29;г. Санкт-Петербург ;271,00;5,10;1,50;-209,70;32,10;-71987,30;2016,00;5,38;
30;Республика Адыгея ;279,50;5,20;1,50;-218,60;32,40;-75053,50;2016,00;5,38;
31;Республика Калмыкия ;288,00;5,30;1,50;-227,50;32,70;-78119,70;2016,00;5,38;
32;Kраснодарский край ;296,50;5,40;1,50;-236,40;33,00;-81185,90;2016,00;5,38;
33;Aстраханская область ;305,00;5,50;1,50;-245,30;33,30;-84252,10;2016,00;5,38;
34;Bолгоградская область ;313,50;5,60;1,50;-254,20;33,60;-87318,30;2016,00;5,38;
35;Pостовская область ;322,00;5,70;1,50;-263,10;33,90;-90384,50;2016,00;5,38;
36;Республика Крым ;330,50;5,80;1,50;-272,00;34,20;-93450,70;2016,00;5,38;
37;г. Севастополь ;339,00;5,90;1,50;-280,90;34,50;-96516,90;2016,00;5,38;
38;Республика Дагестан ;347,50;6,00;1,50;-289,80;34,80;-99583,10;2016,00;5,38;
39;Республика Ингушетия ;356,00;6,10;1,50;-298,70;35,10;-102649,30;2016,00;5,38;
40;Кабардино-Балкарская Республика ;364,50;6,20;1,50;-307,60;35,40;-105715,50;2016,00;5,38;
41;Карачаево-Черкесская Республика ;373,00;6,30;1,50;-316,50;35,70;-108781,70;2016,00;5,38;
42;Республика Северная Осетия-;381,50;6,40;1,50;-325,40;36,00;-111847,90;2016,00;5,38;
43;Чеченская Республика ;390,00;6,50;1,50;-334,30;36,30;-114914,10;2016,00;5,38;
44;Cтавропольский край ;398,50;6,60;1,50;-343,20;36,60;-117980,30;2016,00;5,38;
45;Республика Башкортостан ;407,00;6,70;1,50;-352,10;36,90;-121046,50;2016,00;5,38;
46;Республика Mарий Эл ;415,50;6,80;1,50;-361,00;37,20;-124112,70;2016,00;5,38;
47;Республика Мордовия ;424,00;6,90;1,50;-369,90;37,50;-127178,90;2016,00;5,38;
48;Республика Татарстан ;432,50;7,00;1,50;-378,80;37,80;-130245,10;2016,00;5,38;
49;Удмуртская Республика ;441,00;7,10;1,50;-387,70;38,10;-133311,30;2016,00;5,38;
50;Чувашская Республика ;449,50;7,20;1,50;-396,60;38,40;-136377,50;2016,00;5,38;
